time,type,value
1646373496.9324741,attention,54
1646373496.9334471,meditation,44
1646373497.9330027,attention,51
1646373497.933982,meditation,44
1646373498.9332457,attention,35
1646373498.9342353,meditation,38
1646373499.9613876,attention,27
1646373499.9613876,meditation,43
1646373500.9333954,attention,20
1646373500.9333954,meditation,44
1646373501.9343894,attention,10
1646373501.9343894,meditation,20
1646373502.9329438,attention,10
1646373502.9329438,meditation,20
1646373503.933933,attention,13
1646373503.9359431,meditation,24
1646373504.932534,attention,35
1646373504.932534,meditation,38
1646373505.9341311,attention,48
1646373505.9371157,meditation,40
1646373506.9459643,attention,66
1646373506.9459643,meditation,60
1646373507.9319668,attention,63
1646373507.9319668,meditation,51
1646373508.933331,attention,53
1646373508.934314,meditation,48
1646373509.9359004,attention,43
1646373509.9368832,meditation,60
1646373510.9866035,attention,48
1646373510.9876177,meditation,67
1646373511.9336028,attention,53
1646373511.9346006,meditation,75
1646373512.9338834,attention,48
1646373512.9348755,meditation,80
1646373513.9408631,attention,48
1646373513.9408631,meditation,80
1646373514.9314914,attention,57
1646373514.9325,meditation,88
1646373515.9314945,attention,47
1646373515.9314945,meditation,80
1646373516.9339118,attention,56
1646373516.934911,meditation,90
1646373517.9669054,attention,67
1646373517.9669054,meditation,88
1646373518.9353638,attention,56
1646373518.936358,meditation,66
1646373519.9323695,attention,57
1646373519.9323695,meditation,63
1646373520.9318922,attention,47
1646373520.9318922,meditation,41
1646373521.9318898,attention,43
1646373521.9318898,meditation,35
1646373522.9320312,attention,48
1646373522.9320312,meditation,44
1646373523.9321594,attention,51
1646373523.9341674,meditation,44
1646373524.9618404,attention,51
1646373524.962844,meditation,61
1646373525.9419508,attention,57
1646373525.9419508,meditation,74
1646373526.9371188,attention,63
1646373526.9381235,meditation,78
1646373527.9344835,attention,63
1646373527.9355066,meditation,78
1646373528.9535923,attention,54
1646373528.9545815,meditation,75
1646373529.9323578,attention,50
1646373529.9323578,meditation,64
1646373530.931748,attention,47
1646373530.9327562,meditation,54
1646373531.9387414,attention,35
1646373531.9387414,meditation,27
1646373532.9329422,attention,27
1646373532.9339414,meditation,24
1646373533.9330785,attention,50
1646373533.9330785,meditation,37
1646373534.9337435,attention,50
1646373534.9337435,meditation,37
1646373535.969196,attention,48
1646373535.9711874,meditation,38
1646373536.932385,attention,48
1646373536.932385,meditation,38
1646373537.9334874,attention,54
1646373537.9334874,meditation,53
1646373538.9329717,attention,67
1646373538.9329717,meditation,64
1646373539.9319687,attention,67
1646373539.9319687,meditation,64
1646373540.9330084,attention,47
1646373540.9380026,meditation,44
1646373541.937012,attention,43
1646373541.9380252,meditation,50
1646373542.9569697,attention,48
1646373542.9579682,meditation,56
1646373543.9319663,attention,40
1646373543.9329753,meditation,44
1646373544.9321303,attention,40
1646373544.9331224,meditation,44
1646373545.934135,attention,40
1646373545.934135,meditation,61
1646373546.958369,attention,40
1646373546.9593747,meditation,61
1646373547.934084,attention,40
1646373547.9350755,meditation,61
1646373548.9324422,attention,40
1646373548.933441,meditation,61
1646373549.9459596,attention,40
1646373549.9459596,meditation,61
1646373550.9324954,attention,38
1646373550.9334981,meditation,50
1646373551.9335032,attention,38
1646373551.9345052,meditation,50
1646373552.9336576,attention,38
1646373552.9346461,meditation,50
1646373553.975645,attention,38
1646373553.975645,meditation,50
1646373554.93427,attention,38
1646373554.9352858,meditation,50
1646373555.9342926,attention,38
1646373555.9352841,meditation,47
1646373556.9328768,attention,44
1646373556.933875,meditation,56
1646373557.9363973,attention,44
1646373557.9374201,meditation,56
1646373558.9360824,attention,60
1646373558.937099,meditation,54
1646373559.9330828,attention,74
1646373559.9340847,meditation,69
1646373560.9593418,attention,74
1646373560.9593418,meditation,69
1646373561.9363456,attention,74
1646373561.9363456,meditation,69
1646373562.9310465,attention,67
1646373562.9320414,meditation,66
1646373563.934058,attention,64
1646373563.9350436,meditation,70
1646373564.9310434,attention,53
1646373564.932043,meditation,70
1646373565.9320455,attention,37
1646373565.9320455,meditation,61
1646373566.933997,attention,29
1646373566.933997,meditation,63
1646373567.9627042,attention,26
1646373567.963707,meditation,64
1646373568.9318666,attention,26
1646373568.9318666,meditation,69
1646373569.931424,attention,20
1646373569.932411,meditation,60
1646373570.931534,attention,20
1646373570.931534,meditation,60
1646373571.9755173,attention,20
1646373571.9765172,meditation,60
1646373572.9310474,attention,37
1646373572.9310474,meditation,69
1646373573.9315794,attention,40
1646373573.9315794,meditation,61
1646373574.9386213,attention,40
1646373574.9406228,meditation,61
1646373575.932619,attention,51
1646373575.932619,meditation,66
1646373576.9313252,attention,63
1646373576.9333377,meditation,80
1646373577.9304445,attention,56
1646373577.9304445,meditation,74
1646373578.9635692,attention,63
1646373578.9645665,meditation,66
1646373579.9319994,attention,53
1646373579.9330134,meditation,60
1646373580.9319968,attention,47
1646373580.9319968,meditation,60
1646373581.9349952,attention,24
1646373581.9359987,meditation,51
1646373582.9309971,attention,29
1646373582.9309971,meditation,57
1646373583.9310055,attention,38
1646373583.9319947,meditation,53
1646373584.9327788,attention,60
1646373584.9327788,meditation,50
1646373585.9598715,attention,80
1646373585.9598715,meditation,66
1646373586.9308722,attention,74
1646373586.9318812,meditation,74
1646373587.9318771,attention,80
1646373587.93289,meditation,69
1646373588.9337673,attention,64
1646373588.9337673,meditation,81
1646373589.9617615,attention,64
1646373589.9617615,meditation,81
1646373590.9401596,attention,64
1646373590.9401596,meditation,81
1646373591.9321594,attention,78
1646373591.9321594,meditation,64
1646373592.9411569,attention,81
1646373592.9421568,meditation,53
1646373593.9317198,attention,63
1646373593.9337208,meditation,50
1646373594.9336293,attention,53
1646373594.9346244,meditation,26
1646373595.9326365,attention,23
1646373595.933629,meditation,40
1646373596.9773257,attention,20
1646373596.9773257,meditation,43
1646373597.9303277,attention,13
1646373597.9313283,meditation,54
1646373598.9308894,attention,11
1646373598.9308894,meditation,63
1646373599.9339387,attention,21
1646373599.9349072,meditation,60
1646373600.9318914,attention,26
1646373600.9318914,meditation,63
1646373601.9339242,attention,41
1646373601.934897,meditation,67
1646373602.9318254,attention,50
1646373602.9328206,meditation,81
1646373603.9608169,attention,44
